City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
109,yueyang,29.3333,113.0919,9.16,57,100,2.97,CN,2025-02-05
110,coquimbo,-29.9533,-71.3436,16.85,88,20,1.54,CL,2025-02-05
111,galeana,24.8333,-100.0667,12.68,78,52,1.9,MX,2025-02-05
112,porto novo,6.4965,2.6036,28.9,80,36,2.49,BJ,2025-02-05
113,parham,17.0968,-61.7705,24.83,83,75,4.63,AG,2025-02-05
114,sao joaquim,-28.2939,-49.9317,15.62,97,7,1.67,BR,2025-02-05
115,dunkirk,51.05,2.3667,5.59,91,100,4.97,FR,2025-02-05
116,figuig (centre),32.1089,-1.2286,7.67,52,16,2.83,MA,2025-02-05
117,abu zabad,12.35,29.25,22.2,25,0,5.99,SD,2025-02-05
118,cidade velha,14.9167,-23.6167,20.26,64,20,7.72,CV,2025-02-05
119,quellon,-43.1167,-73.6167,11.93,80,11,1.93,CL,2025-02-05
120,portage la prairie,49.9728,-98.2926,-19.5,64,100,2.03,CA,2025-02-05
121,nadym,65.5333,72.5167,-18.55,98,100,3.15,RU,2025-02-05
122,kupang,-10.1667,123.5833,31.32,70,40,5.14,ID,2025-02-05
123,enewetak,11.3474,162.3373,26.8,71,80,8.81,MH,2025-02-05
124,weno,7.4515,151.8468,28.97,79,100,4.12,FM,2025-02-05
125,st. john's,47.5649,-52.7093,-2.24,78,20,10.29,CA,2025-02-05
126,aasiaat,68.7098,-52.8699,-22.28,96,100,1.91,GL,2025-02-05
127,songadh,21.1667,73.5667,16.53,26,3,0.59,IN,2025-02-05
128,whangarei,-35.7317,174.3239,26.57,43,1,2.1,NZ,2025-02-05
129,ceeldheer,3.8488,47.1806,23.05,83,94,7.87,SO,2025-02-05
130,ilulissat,69.2167,-51.1,-19.99,71,100,5.14,GL,2025-02-05
131,cedeira,43.6797,-8.0209,10.54,95,100,3.52,ES,2025-02-05
132,ancud,-41.8697,-73.8203,13.95,76,4,0.87,CL,2025-02-05
133,walvis bay,-22.9575,14.5053,18.96,83,96,1.37,NA,2025-02-05
134,callao,-12.0667,-77.15,25.95,78,0,4.63,PE,2025-02-05
135,port alfred,-33.5906,26.891,22.32,96,100,1.34,ZA,2025-02-05
136,penzance,50.1186,-5.5371,7.38,73,0,6.43,GB,2025-02-05
137,udachny,66.4167,112.4,-34.18,92,100,2.21,RU,2025-02-05
138,tchintabaraden,15.8969,5.7985,21.8,17,100,4.77,NE,2025-02-05
139,port saint john's,-31.6229,29.5448,26.04,86,100,2.64,ZA,2025-02-05
140,yinchuan,38.4681,106.2731,-11.01,57,0,2.29,CN,2025-02-05
141,saldanha,-33.0117,17.9442,18.3,88,6,4.5,ZA,2025-02-05
142,codrington,-38.2667,141.9667,19.1,48,7,8.04,AU,2025-02-05
143,paimpol,48.7784,-3.0438,6.43,87,9,3.36,FR,2025-02-05
144,nova vicosa,-17.8919,-39.3719,24.81,86,0,3.83,BR,2025-02-05
145,ndele,8.4109,20.6473,23.88,23,84,1.89,CF,2025-02-05
146,bullhead city,35.1478,-114.5683,27.16,20,0,8.75,US,2025-02-05
147,prado,-17.3411,-39.2208,25.9,81,0,4.19,BR,2025-02-05
148,dawei,14.0833,98.2,23.39,79,2,1.56,MM,2025-02-05
149,ghanzi,-21.5667,21.7833,22.81,57,8,2.42,BW,2025-02-05
150,lihue,21.9789,-159.3672,23.77,53,0,8.23,US,2025-02-05
151,afaahiti,-17.75,-149.2833,26.61,75,31,3.8,PF,2025-02-05
152,vila velha,-20.3297,-40.2925,25.97,78,20,5.14,BR,2025-02-05
153,zaragoza,41.6561,-0.8773,8.25,63,0,5.66,ES,2025-02-05
154,kabo,7.6994,18.629,23.83,20,100,1.01,CF,2025-02-05
155,vernon,50.2581,-119.2691,-10.14,61,97,6.71,CA,2025-02-05
156,acapulco de juarez,16.8634,-99.8901,27.9,78,0,3.6,MX,2025-02-05
157,kapa'a,22.0752,-159.319,24.18,59,0,8.23,US,2025-02-05
158,yeongdong,36.175,127.7764,-6.68,58,100,3.71,KR,2025-02-05
159,lazaro cardenas,17.9583,-102.2,25.4,75,0,2.3,MX,2025-02-05
160,tarnogskiy gorodok,60.4997,43.5761,-6.34,96,100,1.82,RU,2025-02-05
161,falkenberg,56.9055,12.4912,3.47,92,100,8.16,SE,2025-02-05
162,mount pearl,47.5166,-52.7813,-2.7,83,20,10.29,CA,2025-02-05
163,kenitra,34.261,-6.5802,8.42,87,0,3.83,MA,2025-02-05
164,kudahuvadhoo,2.6708,72.8944,27.23,70,2,4.36,MV,2025-02-05
165,sinabang,2.4803,96.3801,27.02,79,55,1.01,ID,2025-02-05
166,iqaluit,63.7506,-68.5145,-30.15,69,0,1.03,CA,2025-02-05
167,hepingjie,42.0597,126.9158,-20.86,82,100,2.41,CN,2025-02-05
168,dampit,-8.2116,112.7493,29.32,52,28,1.57,ID,2025-02-05
169,bethel,41.3712,-73.414,-0.8,57,8,1.79,US,2025-02-05
170,north battleford,52.7834,-108.2847,-20.95,71,100,2.57,CA,2025-02-05
171,olinda,-8.0089,-34.8553,25.85,89,75,2.57,BR,2025-02-05
172,villa yapacani,-17.4,-63.8333,24.61,79,18,0.72,BO,2025-02-05
173,nelson bay,-32.7167,152.15,28.89,74,0,3.13,AU,2025-02-05
174,milazzo,38.2212,15.2383,12.32,84,4,1.79,IT,2025-02-05
175,minden,52.2833,8.9167,0.82,84,5,3.6,DE,2025-02-05
176,hanzhong,33.0728,107.0303,4.63,45,96,1.74,CN,2025-02-05
177,stafford,52.8052,-2.1164,4.85,80,0,5.3,GB,2025-02-05
178,emerald,-23.5333,148.1667,21.86,100,100,4.07,AU,2025-02-05
179,valparaiso,-33.0393,-71.6273,21.11,37,100,4.37,CL,2025-02-05
180,dudinka,69.4058,86.1778,-30.04,96,65,0.98,RU,2025-02-05
181,mata-utu,-13.2816,-176.1745,28.5,70,40,2.69,WF,2025-02-05
182,bechar,31.6167,-2.2167,6.18,52,20,1.54,DZ,2025-02-05
183,port elizabeth,-33.918,25.5701,22.4,95,100,1.79,ZA,2025-02-05
184,margaret river,-33.95,115.0667,23.01,48,0,1.86,AU,2025-02-05
185,sretensk,52.2453,117.7093,-21.81,96,100,1.73,RU,2025-02-05
186,yerofey pavlovich,53.9667,121.9667,-25.53,93,89,1.94,RU,2025-02-05
187,akureyri,65.6835,-18.0878,-1.04,59,20,8.23,IS,2025-02-05
188,tisul',55.7611,88.3122,-20.35,100,94,1.19,RU,2025-02-05
189,ballina,-28.8667,153.5667,24.44,76,100,0.59,AU,2025-02-05
190,whitehorse,60.7161,-135.0538,-16.06,81,75,1.54,CA,2025-02-05
191,haiku-pauwela,20.9219,-156.3051,24.03,67,20,5.81,US,2025-02-05
192,bayganin,48.6947,55.8742,-10.88,87,93,5.95,KZ,2025-02-05
193,pacific grove,36.6177,-121.9166,16.87,91,100,15.65,US,2025-02-05
194,crane,31.3974,-102.3501,21.67,60,2,8.03,US,2025-02-05
195,kisumu,-0.1022,34.7617,19.68,59,99,2.23,KE,2025-02-05
196,vilyuchinsk,52.9306,158.4028,-2.85,79,100,1.55,RU,2025-02-05
197,twon-brass,4.3151,6.2418,27.76,82,73,5.61,NG,2025-02-05
198,fale old settlement,-9.3852,-171.2468,28.74,67,8,5.82,TK,2025-02-05
199,narvik,68.4384,17.4272,-4.0,92,100,5.46,NO,2025-02-05
200,batumi,41.6416,41.6359,3.99,87,75,2.57,GE,2025-02-05
201,grand falls-windsor,48.9332,-55.6649,-5.83,78,42,2.68,CA,2025-02-05
202,taro,-8.3862,115.28,24.78,78,99,1.22,ID,2025-02-05
203,lompoc,34.6391,-120.4579,13.23,93,100,10.8,US,2025-02-05
204,carnarvon,-24.8667,113.6333,27.07,74,7,4.1,AU,2025-02-05
205,kayes,14.0,-11.0,22.82,13,100,3.63,ML,2025-02-05
206,general acha,-37.377,-64.6043,24.88,30,100,4.77,AR,2025-02-05
207,igarka,67.4667,86.5833,-22.42,85,96,4.13,RU,2025-02-05
208,maitland,28.6278,-81.3631,23.08,84,0,0.89,US,2025-02-05
209,maitum,6.0392,124.4986,26.88,79,100,0.71,PH,2025-02-05
210,badger,64.8,-147.5333,-11.46,85,100,0.0,US,2025-02-05
211,dingcheng,32.1272,115.0394,3.85,47,98,5.25,CN,2025-02-05
212,kurgan,55.45,65.3333,-11.46,96,100,2.08,RU,2025-02-05
213,kailua-kona,19.6406,-155.9956,25.71,70,14,0.45,US,2025-02-05
214,papao,-17.75,-149.55,30.82,70,40,0.38,PF,2025-02-05
215,lorengau,-2.0226,147.2712,30.03,67,99,3.59,PG,2025-02-05
216,tazovsky,67.4667,78.7,-27.58,100,100,2.36,RU,2025-02-05
217,waddan,29.1614,16.139,11.6,59,93,3.07,LY,2025-02-05
218,dunda,-8.1167,34.25,18.13,96,100,0.19,TZ,2025-02-05
219,yuzhno-kurilsk,44.0306,145.8556,-1.58,75,3,8.3,RU,2025-02-05
220,alofi,-19.0595,-169.9187,27.94,83,100,3.09,NU,2025-02-05
221,gadani,25.1185,66.7299,17.74,52,0,3.45,PK,2025-02-05
222,little elm,33.1626,-96.9375,11.2,67,100,2.71,US,2025-02-05
223,hasaki,35.7333,140.8333,5.22,30,0,5.99,JP,2025-02-05
224,hovd,48.0056,91.6419,-20.18,61,0,3.68,MN,2025-02-05
225,okha,53.5739,142.9478,-4.78,84,100,10.7,RU,2025-02-05
226,coronel du graty,-27.6804,-60.9146,33.51,27,65,3.69,AR,2025-02-05
227,wynyard,-41.0,145.7167,18.44,60,97,2.24,AU,2025-02-05
228,novyy urengoy,66.0833,76.6333,-21.9,100,100,3.1,RU,2025-02-05
229,mont-joli,48.5839,-68.1921,-11.28,62,100,13.89,CA,2025-02-05
230,urucui,-7.2294,-44.5561,24.59,70,100,0.97,BR,2025-02-05
231,riverton,40.5219,-111.9391,17.58,31,75,7.2,US,2025-02-05
232,mildura,-34.2,142.15,26.71,54,0,5.42,AU,2025-02-05
233,berezovo,63.9381,65.0419,-23.23,100,65,1.34,RU,2025-02-05
234,visby,57.6409,18.296,3.12,87,100,6.17,SE,2025-02-05
235,nelson,-41.2833,173.2833,20.16,87,100,0.45,NZ,2025-02-05
236,chopinzinho,-25.8558,-52.5233,20.05,97,100,2.25,BR,2025-02-05
237,huarmey,-10.0681,-78.1522,22.72,78,100,3.38,PE,2025-02-05
238,ola,59.5833,151.2833,-22.87,78,8,2.8,RU,2025-02-05
239,geraldton,-28.7667,114.6,30.23,42,26,2.57,AU,2025-02-05
240,hlybokaye,55.1382,27.6879,-4.06,82,9,1.5,BY,2025-02-05
241,namibe,-15.1961,12.1522,23.64,83,100,1.9,AO,2025-02-05
242,dalbandin,28.8947,64.4101,7.7,33,0,2.58,PK,2025-02-05
243,yorkton,51.2167,-102.4677,-22.09,71,100,2.06,CA,2025-02-05
244,linxia chengguanzhen,35.6003,103.2064,-13.62,95,89,1.21,CN,2025-02-05
245,prince rupert,54.3161,-130.3201,0.83,21,0,7.2,CA,2025-02-05
246,black river,18.0264,-77.8487,24.62,79,61,2.2,JM,2025-02-05
247,cole harbour,44.6724,-63.4751,-4.48,72,73,1.34,CA,2025-02-05
248,puerto san jose,13.9256,-90.8244,26.57,75,1,3.62,GT,2025-02-05
249,praia da vitoria,38.7333,-27.0667,16.14,100,75,6.72,PT,2025-02-05
250,arno,60.1167,18.6333,1.96,91,90,5.9,SE,2025-02-05
251,kone,-21.0595,164.8658,24.98,95,100,1.73,NC,2025-02-05
252,erenhot,43.6475,111.9767,-17.56,71,54,7.28,CN,2025-02-05
253,gubkinskiy,64.434,76.5026,-20.97,100,100,2.7,RU,2025-02-05
254,hadibu,12.65,54.0333,21.31,71,53,5.08,YE,2025-02-05
255,santana,-0.0583,-51.1817,27.1,89,0,1.54,BR,2025-02-05
256,isafjordur,66.0755,-23.124,-2.68,72,100,12.73,IS,2025-02-05
257,alavus,62.5833,23.6167,-4.69,90,100,6.78,FI,2025-02-05
258,hobyo,5.3505,48.5268,23.4,82,78,9.18,SO,2025-02-05
259,caraguatatuba,-23.6338,-45.4899,21.72,97,100,1.56,BR,2025-02-05
